design_name,parts,
Design A000P020: 1414088611009_A000P020,rL3S2P24,rLitR,ran2_litr,rPlmJ,rpQacR,input_pBAD,RiboJ10,an3_srpr,SrpR,ECK120029600,pSrpR,pHlyIIR,RiboJ60,js_qacr,QacR,ECK120010818,pBM3R1,pLitR,RiboJ53,an1_phlf,PhlF,ECK120033737,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,pPhlF,output_YFP
Design A000P021: 1414088611009_A000P021,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,rECK120033737,rPhlF,ran1_phlf,rRiboJ53,rpLitR,rpBM3R1,pQacR,PlmJ,an2_litr,LitR,L3S2P24,rL3S2P11,rBM3R1,rjs2_bm3r1,rSarJ,rinput_pTac,rECK120010818,rQacR,rjs_qacr,rRiboJ60,rpHlyIIR,rpSrpR,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,pPhlF,output_YFP
Design A000P022: 1414088611009_A000P022,input_pBAD,RiboJ10,an3_srpr,SrpR,ECK120029600,rECK120010818,rQacR,rjs_qacr,rRiboJ60,rpHlyIIR,rpSrpR,rECK120033737,rPhlF,ran1_phlf,rRiboJ53,rpLitR,rpBM3R1,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,input_pTet,RiboJ51,js2_hlyiir,HlyIIR(js),ECK120033736,rL3S2P24,rLitR,ran2_litr,rPlmJ,rpQacR,pPhlF,output_YFP
Design A000P023: 1414088611009_A000P023,pBM3R1,pLitR,RiboJ53,an1_phlf,PhlF,ECK120033737,input_pBAD,RiboJ10,an3_srpr,SrpR,ECK120029600,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,pSrpR,pHlyIIR,RiboJ60,js_qacr,QacR,ECK120010818,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,rL3S2P24,rLitR,ran2_litr,rPlmJ,rpQacR,pPhlF,output_YFP
Design A000P024: 1414088611009_A000P024,rECK120010818,rQacR,rjs_qacr,rRiboJ60,rpHlyIIR,rpSrpR,pQacR,PlmJ,an2_litr,LitR,L3S2P24,pBM3R1,pLitR,RiboJ53,an1_phlf,PhlF,ECK120033737,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,input_pTet,RiboJ51,js2_hlyiir,HlyIIR(js),ECK120033736,pPhlF,output_YFP
Design A000P025: 1414088611009_A000P025,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,pSrpR,pHlyIIR,RiboJ60,js_qacr,QacR,ECK120010818,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,rL3S2P24,rLitR,ran2_litr,rPlmJ,rpQacR,pBM3R1,pLitR,RiboJ53,an1_phlf,PhlF,ECK120033737,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,pPhlF,output_YFP
Design A000P026: 1414088611009_A000P026,input_pTet,RiboJ51,js2_hlyiir,HlyIIR(js),ECK120033736,pBM3R1,pLitR,RiboJ53,an1_phlf,PhlF,ECK120033737,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,pSrpR,pHlyIIR,RiboJ60,js_qacr,QacR,ECK120010818,pQacR,PlmJ,an2_litr,LitR,L3S2P24,input_pBAD,RiboJ10,an3_srpr,SrpR,ECK120029600,pPhlF,output_YFP
Design A000P027: 1414088611009_A000P027,pSrpR,pHlyIIR,RiboJ60,js_qacr,QacR,ECK120010818,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,pQacR,PlmJ,an2_litr,LitR,L3S2P24,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,pBM3R1,pLitR,RiboJ53,an1_phlf,PhlF,ECK120033737,pPhlF,output_YFP
Design A000P028: 1414088611009_A000P028,rL3S2P11,rBM3R1,rjs2_bm3r1,rSarJ,rinput_pTac,pQacR,PlmJ,an2_litr,LitR,L3S2P24,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,rECK120010818,rQacR,rjs_qacr,rRiboJ60,rpHlyIIR,rpSrpR,input_pBAD,RiboJ10,an3_srpr,SrpR,ECK120029600,rECK120033737,rPhlF,ran1_phlf,rRiboJ53,rpLitR,rpBM3R1,pPhlF,output_YFP
Design A000P029: 1414088611009_A000P029,input_pTet,RiboJ51,js2_hlyiir,HlyIIR(js),ECK120033736,rL3S2P11,rBM3R1,rjs2_bm3r1,rSarJ,rinput_pTac,pSrpR,pHlyIIR,RiboJ60,js_qacr,QacR,ECK120010818,rL3S2P24,rLitR,ran2_litr,rPlmJ,rpQacR,rECK120033737,rPhlF,ran1_phlf,rRiboJ53,rpLitR,rpBM3R1,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,pPhlF,output_YFP
Design A000P030: 1414088611009_A000P030,rECK120033737,rPhlF,ran1_phlf,rRiboJ53,rpLitR,rpBM3R1,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,pSrpR,pHlyIIR,RiboJ60,js_qacr,QacR,ECK120010818,pQacR,PlmJ,an2_litr,LitR,L3S2P24,input_pTet,RiboJ51,js2_hlyiir,HlyIIR(js),ECK120033736,input_pBAD,RiboJ10,an3_srpr,SrpR,ECK120029600,pPhlF,output_YFP
